Room,EnergyUse,PeopleNum,Availability,leftUpperX,leftUpperY,rightBottomX,rightBottomY
125C,H,4,N,540,381,640,443
107E,L,8,N,15,588,148,703
100,M,12,N,505,588,647,703
121,M,0,Y,330,406,399,443
123E,H,2,N,353,242,388,283
123F,L,0,Y,388,242,428,273
123G,M,4,N,428,242,465,283
123H,H,0,Y,420,283,465,313
123J,L,5,N,420,313,465,343
123K,M,0,Y,420,343,465,373
123L,H,2,N,420,373,465,406
123D,L,0,Y,353,283,399,313
123C,L,6,N,353,313,399,343
123B,L,0,Y,353,343,399,373
123A,M,3,N,353,373,399,406
125B,H,0,Y,490,381,540,443
125E,M,4,N,640,408,673,443
125A,L,0,Y,445,406,490,443
123M,L,1,N,420,406,445,443
120,M,2,N,399,406,420,428
107D,M,4,N,148,658,180,703
107C,H,0,Y,180,658,240,703
107B,M,5,N,240,658,275,703
107A,L,0,Y,275,658,313,703
103,L,2,N,313,658,351,683
101,M,0,Y,351,658,394,690
100A,H,6,N,427,658,465,690
100B,M,4,N,465,658,505,683
111,L,0,Y,353,588,394,628
113,L,1,N,353,558,394,588
115,M,2,N,353,508,394,558
117,M,4,N,328,473,394,508
112,H,0,Y,424,585,465,628
114,M,5,N,424,548,465,585
116,L,0,Y,424,508,465,548
110B,L,2,N,424,473,490,508
126A,L,2,N,490,473,540,533
126B,M,0,Y,540,473,590,533
126C,H,6,N,590,473,640,533
126D,M,4,N,640,473,673,513
119D,M,4,N,190,403,230,468
119,H,0,Y,230,403,299,468
175,M,5,N,299,421,330,443
119C,L,0,Y,190,468,230,512
119B,L,0,Y,230,468,265,512
119A,L,6,N,265,468,299,512
172C,M,2,N,55,512,78,544
118J,M,4,N,78,512,100,544
118K,H,0,Y,100,512,122,544
118L,M,6,N,122,512,145,544
118M,L,0,Y,145,512,168,544
118N,L,2,N,168,512,202,544
118P,M,0,Y,202,512,225,544
118Q,H,6,N,225,512,252,544
118A,M,3,N,252,512,299,588
118R,L,0,Y,299,473,328,528
118H,L,1,N,55,555,87,588
118G,M,2,N,87,555,114,588
118E,M,4,N,114,555,165,588
118D,H,0,Y,165,555,195,588
118B,M,5,N,195,555,252,588
107H,L,0,Y,178,588,313,634
107,L,2,N,148,588,178,628
A7C,H,0,Y,692,591,758,703
A7BB,M,5,N,758,648,817,703
A7B,L,0,Y,817,648,905,703
A7A,L,2,N,905,655,975,703
A1,M,0,Y,975,655,1030,688
A7D,H,6,N,758,591,790,631
A7E,M,4,N,790,591,878,631
A7F,L,0,Y,878,591,975,638
A18B,L,1,N,895,535,975,591
A18D,M,2,N,975,517,1012,633
A11,M,2,N,1012,559,1051,633
A15,M,4,N,1012,517,1051,559
A17,H,0,Y,989,482,1051,517
A44,L,0,Y,729,518,750,563
A18C,M,4,N,750,518,815,575
A18A,H,0,Y,815,518,879,575
A19,L,5,N,857,478,925,518
A19A,M,0,Y,925,478,963,518
A19B,H,2,N,857,459,885,478
A19C,L,0,Y,857,416,911,459
A19D,L,6,N,911,416,965,459
A46,L,0,Y,990,418,1010,455
A17C,L,1,N,1010,418,1030,455
A17B,M,2,N,1030,418,1055,455
A23,H,0,Y,1010,363,1055,418
A21A,M,5,N,1010,333,1055,363
A21,L,0,Y,1010,263,1055,333
A20,L,2,N,1075,263,1118,333
A20A,M,0,Y,1075,333,1118,363
A22,H,6,N,1075,363,1118,418
A27,M,4,N,1080,418,1140,455
A27B,L,0,Y,1140,393,1285,455
A27C,L,1,N,1285,418,1320,455
A27E,M,2,N,1285,483,1320,521
A27F,M,4,N,1175,483,1285,541
A27H,H,0,Y,1142,483,1175,508
A27G,M,5,N,1142,523,1175,541
A43,L,0,Y,1080,483,1142,517
A14A,L,2,N,1080,517,1120,556
A12,L,2,N,1080,556,1120,593
A10,M,0,Y,1080,593,1120,628
A4A,H,6,N,1102,628,1155,658
A2,M,4,N,1102,658,1155,688
A4B,M,4,N,1155,591,1195,626
A4C,H,0,Y,1155,626,1195,698
